date,day_of_week,month,season,hotel_id,room_type,base_price,occupancy_rate,rooms_available,bookings_last_7_days,bookings_last_14_days,bookings_last_30_days,cancellation_rate,average_booking_lead_time,temperature,rainfall,weather_condition,is_weekend,is_holiday,festival_importance,local_event,event_importance,competitor_price,historical_demand
2025-04-25,Friday,4,Summer,1,Standard,2500.0,51.4,11,10,17,35,4.0,4,25.8,1.4,Sunny,True,False,None,None,None,2490.0,57.6
2025-01-28,Tuesday,1,Peak Winter,1,Deluxe,3500.0,70.4,7,11,26,48,6.1,16,20.5,0.0,Sunny,False,True,None,None,None,4200.0,52.4
2025-06-13,Friday,6,Summer,1,Suite,8000.0,51.7,11,9,20,40,5.9,8,39.7,0.0,Extreme,True,False,None,None,None,7730.0,55.5
2026-04-16,Thursday,4,Summer,1,Standard,2500.0,56.4,10,10,20,46,3.8,33,26.3,0.4,Normal,False,False,None,IPL Cricket Match (Sawai Mansingh Stadium),Very High,2740.0,44.6
2025-10-24,Friday,10,Shoulder,1,Standard,2500.0,98.0,1,20,38,84,10.0,16,27.0,4.3,Good,True,False,Major,None,None,3200.0,100.0
2025-09-08,Monday,9,Summer,1,Deluxe,3500.0,45.2,13,10,20,45,6.6,19,31.9,1.9,Normal,False,False,None,None,None,3700.0,40.1
2025-02-27,Thursday,2,Shoulder,1,Deluxe,3500.0,73.1,6,16,34,62,10.2,17,27.2,4.0,Good,False,False,None,None,None,3960.0,64.4
2026-04-15,Wednesday,4,Summer,1,Deluxe,3500.0,61.0,9,11,25,44,5.4,23,30.0,0.7,Normal,False,False,None,IPL Cricket Match (Sawai Mansingh Stadium),Very High,4110.0,48.6
2026-06-06,Saturday,6,Summer,1,Suite,8000.0,57.4,10,12,22,49,7.2,16,42.5,0.0,Normal,True,False,None,None,None,9250.0,64.4
2026-06-26,Friday,6,Summer,1,Premium,5000.0,52.7,11,9,20,32,6.2,28,42.1,0.0,Normal,True,False,None,None,None,4950.0,55.9
2025-01-04,Saturday,1,Peak Winter,1,Premium,5000.0,94.0,1,18,36,69,7.1,25,21.6,0.0,Sunny,True,False,None,None,None,5990.0,92.2
2026-06-28,Sunday,6,Summer,1,Standard,2500.0,54.3,10,9,18,31,5.6,8,40.9,0.0,Extreme,True,False,None,None,None,2670.0,56.5
2025-03-22,Saturday,3,Shoulder,1,Standard,2500.0,78.5,5,16,31,63,8.8,10,24.6,2.4,Sunny,True,False,None,None,None,2990.0,81.6
2025-08-05,Tuesday,8,Monsoon,1,Deluxe,3500.0,47.9,12,11,24,46,12.9,70,29.6,2.0,Normal,False,False,None,None,None,3560.0,43.4
2025-09-11,Thursday,9,Summer,1,Deluxe,3500.0,42.4,13,10,17,38,3.7,7,28.7,1.7,Good,False,False,None,None,None,3210.0,38.9
2025-12-05,Friday,12,Peak Winter,1,Standard,2500.0,93.5,1,15,34,58,11.6,5,16.4,0.0,Sunny,True,False,None,None,None,3260.0,85.4
2025-07-14,Monday,7,Monsoon,1,Standard,2500.0,43.0,13,10,18,35,7.4,19,29.8,46.2,Rain,False,False,None,None,None,2430.0,39.2
2025-04-22,Tuesday,4,Summer,1,Deluxe,3500.0,41.0,14,7,18,26,12.6,13,27.6,1.0,Good,False,False,None,None,None,3210.0,31.8
2025-04-11,Friday,4,Summer,1,Standard,2500.0,63.7,8,12,28,46,12.5,5,30.7,5.0,Sunny,True,False,Medium,None,None,2930.0,86.9
2025-06-18,Wednesday,6,Summer,1,Suite,8000.0,38.5,14,7,15,29,10.7,10,43.9,0.0,Normal,False,False,None,None,None,8130.0,30.8
